--------- beginning of main
05-13 10:51:46.992 I/ReactNativeJS( 5250): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
05-13 10:51:47.269 I/ReactNativeJS( 5250): '[analytics]', 'sync_started', { trigger: 'cold_start' }
05-13 10:51:47.271 I/ReactNativeJS( 5250): '[analytics]', 'health_platform_read_skipped', { trigger: 'foreground', reason: 'no_user' }
05-13 10:51:50.036 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=33 1a f6 69 listeners=1
05-13 10:51:50.037 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=28 fe f5 69 listeners=1
05-13 10:51:50.038 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e9 f7 f5 69 listeners=1
05-13 10:51:50.039 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=2a b4 f5 69 listeners=1
05-13 10:51:50.039 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=0e 75 f5 69 listeners=1
05-13 10:51:50.040 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=3c 45 f5 69 listeners=1
05-13 10:51:50.041 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=10 d0 f4 69 listeners=1
05-13 10:51:50.042 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=17 3e f4 69 listeners=1
05-13 10:51:50.083 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=66 32 f4 69 listeners=1
05-13 10:51:50.085 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=06 32 f4 69 listeners=1
05-13 10:51:50.087 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=17 22 f3 69 listeners=1
05-13 10:51:50.089 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=23 9a f2 69 listeners=1
05-13 10:51:50.092 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=c3 99 f2 69 listeners=1
05-13 10:51:50.094 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=8e 90 f2 69 listeners=1
05-13 10:51:50.095 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=bf e8 f1 69 listeners=1
05-13 10:51:50.096 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=73 db f1 69 listeners=1
05-13 10:51:50.097 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=0f a9 f1 69 listeners=1
05-13 10:51:50.098 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=be 4c f1 69 listeners=1
05-13 10:51:50.128 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=1d 27 f1 69 listeners=1
05-13 10:51:50.130 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e1 26 f1 69 listeners=1
05-13 10:51:50.131 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=73 1a f1 69 listeners=1
05-13 10:51:50.132 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=33 1a f1 69 listeners=1
05-13 10:51:50.133 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f7 19 f1 69 listeners=1
05-13 10:51:50.135 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=db 9c f0 69 listeners=1
05-13 10:51:50.136 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=48 97 f0 69 listeners=1
05-13 10:51:50.137 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=46 77 f0 69 listeners=1
05-13 10:51:50.138 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=fa 60 f0 69 listeners=1
05-13 10:51:50.139 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=21 4a f0 69 listeners=1
05-13 10:51:50.178 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e0 49 f0 69 listeners=1
05-13 10:51:50.179 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e7 12 ee 69 listeners=1
05-13 10:51:50.181 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=56 fc ed 69 listeners=1
05-13 10:51:50.182 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=5b ec ed 69 listeners=1
05-13 10:51:50.183 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=a2 9c ec 69 listeners=1
05-13 10:51:50.184 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=85 84 eb 69 listeners=1
05-13 10:51:50.185 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=2e 74 eb 69 listeners=1
05-13 10:51:50.186 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=61 28 eb 69 listeners=1
05-13 10:51:50.187 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f7 e9 ea 69 listeners=1
05-13 10:51:50.188 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=27 e9 ea 69 listeners=1
05-13 10:51:50.225 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=2d e8 ea 69 listeners=1
05-13 10:51:50.226 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7a e7 ea 69 listeners=1
05-13 10:51:50.226 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=31 e7 ea 69 listeners=1
05-13 10:51:50.226 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ae e6 ea 69 listeners=1
05-13 10:51:50.227 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=26 e6 ea 69 listeners=1
05-13 10:51:50.228 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=34 e5 ea 69 listeners=1
05-13 10:51:50.274 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e3 e4 ea 69 listeners=1
05-13 10:51:50.274 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=96 e4 ea 69 listeners=1
05-13 10:51:50.274 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f8 e3 ea 69 listeners=1
05-13 10:51:50.275 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=73 e2 ea 69 listeners=1
05-13 10:51:50.275 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan returned 50 packet(s); first.ts=1777780409 last.ts=1777001075
05-13 10:51:50.278 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.289 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.292 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.293 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.295 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.296 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.298 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.300 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.302 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.305 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.307 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.308 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.309 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.311 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.317 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.324 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.326 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.328 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'confirmed_urgent' }
05-13 10:51:50.329 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.331 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.334 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.438 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan enter anchorTs=1777001075 (DIR=1 walk-backward)
05-13 10:51:50.529 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=13 e2 ea 69 listeners=1
05-13 10:51:50.529 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=fb d5 ea 69 listeners=1
05-13 10:51:50.529 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=3f d1 ea 69 listeners=1
05-13 10:51:50.530 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=70 d0 ea 69 listeners=1
05-13 10:51:50.530 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=c8 cf ea 69 listeners=1
05-13 10:51:50.530 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f9 ce ea 69 listeners=1
05-13 10:51:50.530 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=91 b9 ea 69 listeners=1
05-13 10:51:50.530 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d9 b8 ea 69 listeners=1
05-13 10:51:50.531 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=3d b8 ea 69 listeners=1
05-13 10:51:50.531 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=16 49 ea 69 listeners=1
05-13 10:51:50.567 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=aa 6d b7 65 listeners=1
05-13 10:51:50.569 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ff ff ff ff listeners=1
05-13 10:51:50.569 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan returned 11 packet(s); first.ts=1777000979 last.ts=1706519978
05-13 10:51:50.571 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
